PLCTAG_DI_FillerRecuperoAusiliarioInserito                      plc4/db46.dbx48.4:bool    DB46.DBX48.4
PLCTAG_AI_BilanciaLegante                                       plc4/db46.dbw46:word      db46.dbw46
PLCTAG_DI_PortBilViatopChiusa                                   plc4/db46.dbx66.0:bool    db46.dbx66.0
PLCTAG_DI_PortBilViatAperta                                     plc4/db46.dbx66.1:bool
PLCTAG_DI_SicViatop                                             plc4/db46.dbx66.2:bool
PLCTAG_DI_AbilitaViatop                                         plc4/db46.dbx66.3:bool
PLCTAG_DI_LivMinViatop                                          plc4/db46.dbx66.4:bool
PLCTAG_DI_PresenzaMatCiclone                                    plc4/db46.dbx66.5:bool
PLCTAG_DI_ScarCicloneChiuso                                     plc4/db46.dbx66.6:bool
PLCTAG_DI_RitMotTrasport                                        plc4/db46.dbx66.7:bool
PLCTAG_DI_TermMotTrasport                                       plc4/db46.dbx67.0:bool
PLCTAG_DO_MotoreVentolaViatop                                   plc4/db46.dbx67.1:bool
PLCTAG_DO_PesataViatop                                          plc4/db46.dbx67.2:bool
PLCTAG_DO_ScaricoBilViatop_Vers8_2                              plc4/db46.dbx67.3:bool
PLCTAG_DO_ScaricoCicloneViatop_Vers8_2                          plc4/db46.dbx67.4:bool
PLCTAG_DI_Term_Vibr_Viatop                                      plc4/db46.dbx67.5:bool
PLCTAG_AI_BilanciaViatop                                        plc4/db46.dbw68:word
PLCTAG_DI_portBilRicChiusa                                      plc4/db46.dbx88.0:bool
PLCTAG_DI_portBilRicAperta                                      plc4/db46.dbx88.1:bool
PLCTAG_DI_SicBilRic                                             plc4/db46.dbx88.2:bool
PLCTAG_DI_AbilitaBilRiciclato                                   plc4/db46.dbx88.3:bool
PLCTAG_DO_PesataBilRiciclato                                    plc4/db46.dbx88.4:bool
PLCTAG_DO_ScaricoBilRiciclato_Vers8_2                           plc4/db46.dbx88.5:bool
PLCTAG_DI_SicLivMaxTramRic                                      plc4/db46.dbx88.6:bool    DB46.DBX88.6
PLCTAG_AI_BilanciaRAP                                           plc4/db46.dbw90:word      db46.dbw90
PLCTAG_AI_TamponeRiciclato                                      plc4/db46.dbw92:word      db46.dbw92
PLCTAG_AI_LivTramogTampRic                                      plc4/db46.dbw94:word      DB46.DBW94
PLCTAG_DO_Defl_Scar_Bil_Ric_RESERVED                            plc4/db46.dbx96.0:bool    DB46.DBX96.0
PLCTAG_FC_Defl_Scar_Bil_Ric_AP                                  plc4/db46.dbx96.1:bool    DB46.DBX96.1
PLCTAG_FC_Defl_Scar_Bil_Ric_CH                                  plc4/db46.dbx96.2:bool    DB46.DBX96.2
PLCTAG_DO_Antiadesivo_Sciv_Ric                                  plc4/db46.dbx96.3:bool    DB46.DBX96.3
PLCTAG_DI_SicurezzaTamponeRiciclatoCaldo                        plc4/db46.dbx96.4:bool    DB46.DBX96.4
PLCTAG_DI_PortinaMescChiusa                                     plc4/db46.dbx110.0:bool
PLCTAG_DI_PortinaMescAperta                                     plc4/db46.dbx110.1:bool
PLCTAG_DI_ConsScaricoMesc                                       plc4/db46.dbx110.2:bool
PLCTAG_DI_MixerON                                               plc4/db46.dbx110.3:bool
PLCTAG_DO_MescolaInCorso                                        plc4/db46.dbx110.4:bool
PLCTAG_DO_ScaricoMesc_Vers8_2                                   plc4/db46.dbx110.5:bool
PLCTAG_DO_SpruzzaAntiadesivoScivoloRiciclatoMixer               plc4/db46.dbx110.6:bool
PLCTAG_DI_abilitaAdditivoMix                                    plc4/db46.dbx132.0:bool
PLCTAG_DI_PompaAddMix                                           plc4/db46.dbx132.1:bool
PLCTAG_DO_PompaAddMixer_Vers8_2                                 plc4/db46.dbx132.2:bool
PLCTAG_DI_TermPompaAddMixer                                     plc4/db46.dbx132.3:bool
PLCTAG_DI_PompaAcquaRitorno                                     plc4/db46.dbx148.1:bool
PLCTAG_DO_PompaAcquaComando                                     plc4/db46.dbx148.2:bool
PLCTAG_DI_PompaAcquaScattoTermica                               plc4/db46.dbx148.3:bool
PLCTAG_DI_abilitaAdditivoLega                                   plc4/db46.dbx154.0:bool
PLCTAG_DI_PompaAddLegante                                       plc4/db46.dbx154.1:bool
PLCTAG_DO_PompaAddLegante_Vers8_2                               plc4/db46.dbx154.2:bool
PLCTAG_DI_TermPompaAddLegante                                   plc4/db46.dbx154.3:bool
PLCTAG_DI_PesataAddLegante                                      plc4/db46.dbx154.4:bool
PLCTAG_DI_Valv_Add_leg_CH                                       plc4/db46.dbx154.5:bool
PLCTAG_DO_Valv_Add_leg                                          plc4/db46.dbx154.6:bool
PLCTAG_DI_Reset_man_Add_leg_CNT                                 plc4/db46.dbx154.7:bool
PLCTAG_AO_PompaAddLegante                                       plc4/db46.dbw156:word
PLCTAG_DI_PortinaSacchiCh                                       plc4/db46.dbx176.0:bool
PLCTAG_DI_PortinaSacchiAp                                       plc4/db46.dbx176.1:bool
PLCTAG_Sacchi3_RIS                                              plc4/db46.dbx176.2:bool
PLCTAG_Sacchi4_RIS                                              plc4/db46.dbx176.3:bool
PLCTAG_DI_RitornoNastroSacchi                                   plc4/db46.dbx176.4:bool
PLCTAG_DI_TermicaNastroSacchi                                   plc4/db46.dbx176.5:bool
PLCTAG_DO_MotoreNastroSacchi_Vers8_2                            plc4/db46.dbx176.6:bool
PLCTAG_DO_ConsensoIntroSacchi_Vers8_2                           plc4/db46.dbx176.7:bool
PLCTAG_Sacchi9                                                  plc4/db46.dbx177.0:bool
PLCTAG_Sacchi10                                                 plc4/db46.dbx177.1:bool
PLCTAG_Sacchi11                                                 plc4/db46.dbx177.2:bool
PLCTAG_Sacchi12                                                 plc4/db46.dbx177.3:bool
PLCTAG_Sacchi13                                                 plc4/db46.dbx177.4:bool
PLCTAG_Sacchi14                                                 plc4/db46.dbx177.5:bool
PLCTAG_Sacchi15                                                 plc4/db46.dbx177.6:bool
PLCTAG_Sacchi16                                                 plc4/db46.dbx177.7:bool
PLCTAG_Sacchi17                                                 plc4/db46.dbx178.0:bool
PLCTAG_Sacchi18                                                 plc4/db46.dbx178.1:bool
PLCTAG_Sacchi19                                                 plc4/db46.dbx178.2:bool
PLCTAG_Sacchi20                                                 plc4/db46.dbx178.3:bool
PLCTAG_DI_GravitaValvScaricoCh                                  plc4/db46.dbx184.0:bool
PLCTAG_DI_GravitaValvScaricoAp                                  plc4/db46.dbx184.1:bool
PLCTAG_DI_GravitaSicurezza                                      plc4/db46.dbx184.2:bool
PLCTAG_DI_Gravita_RIS1                                          plc4/db46.dbx184.3:bool
PLCTAG_DI_Gravita_RIS2                                          plc4/db46.dbx184.4:bool
PLCTAG_DO_GravitaPesataB1                                       plc4/db46.dbx184.5:bool
PLCTAG_DO_GravitaPesataB2                                       plc4/db46.dbx184.6:bool
PLCTAG_DO_GravitaPesataB3                                       plc4/db46.dbx184.7:bool
PLCTAG_DO_GravitaPesataB4                                       plc4/db46.dbx185.0:bool
PLCTAG_DO_GravitaPesataB5                                       plc4/db46.dbx185.1:bool
PLCTAG_DO_GravitaPesataB6                                       plc4/db46.dbx185.2:bool
PLCTAG_DO_GravitaPesataB7                                       plc4/db46.dbx185.3:bool
PLCTAG_DI_Gravita_RIS3                                          plc4/db46.dbx185.4:bool
PLCTAG_DO_GravitaScarico_Vers8_2                                plc4/db46.dbx185.5:bool
