CistTAG_Bitume_InclusioneContalitri                                               plc2/db5.dbx0.7:bool CistTAG_PARAMETRI
CistTAG_Bitume_DB9_DBX404                                                         plc2/db9.dbx40.4:boolDB9.DBX40.4    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX405                                                         plc2/db9.dbx40.5:boolDB9.DBX40.5    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX406                                                         plc2/db9.dbx40.6:boolDB9.DBX40.6    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX407                                                         plc2/db9.dbx40.7:boolDB9.DBX40.7    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX410                                                         plc2/db9.dbx41.0:boolDB9.DBX41.0    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX411                                                         plc2/db9.dbx41.1:boolDB9.DBX41.1    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX412                                                         plc2/db9.dbx41.2:boolDB9.DBX41.2    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX413                                                         plc2/db9.dbx41.3:boolDB9.DBX41.3    Mauro 20110719 liberati
CistTAG_Bitume_TempMinConsensoStartPompaCarico                                    plc2/db9.dbw50:int   DB9.DBW50
CistTAG_Bitume_TempMinCircuito                                                    plc2/db9.dbw52:int   DB9.DBW52
CistTAG_Bitume_DB9_DBX540                                                         plc2/db9.dbx54.0:boolDB9.DBX54.0    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX541                                                         plc2/db9.dbx54.1:boolDB9.DBX54.1    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX542                                                         plc2/db9.dbx54.2:boolDB9.DBX54.2    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX543                                                         plc2/db9.dbx54.3:boolDB9.DBX54.3    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX544                                                         plc2/db9.dbx54.4:boolDB9.DBX54.4    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX545                                                         plc2/db9.dbx54.5:boolDB9.DBX54.5    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX546                                                         plc2/db9.dbx54.6:boolDB9.DBX54.6    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX547                                                         plc2/db9.dbx54.7:boolDB9.DBX54.7    Mauro 20110719 liberati
CistTAG_Bitume_DB9_DBX550                                                         plc2/db9.dbx55.0:boolDB9.DBX55.0    Mauro 20110719 liberati
CistTAG_Emulsione_ValvoleGestioneManuale                                          plc2/db11.dbx0.0:boolCistTAG_ScambioPC_Emulsione
CistTAG_Emulsione_ArrestoEmergenzaValvole                                         plc2/db11.dbx0.1:bool
CistTAG_Emulsione_DI_PompaCircEmulsione                                           plc2/db11.dbx0.2:bool
CistTAG_Emulsione_ForzaOperazioneSuAllarme                                        plc2/db11.dbx1.2:bool
CistTAG_Emulsione_NumeroCisterneDB9                                               plc2/db11.dbw2:int
CistTAG_Emulsione_NumeroCisternaDefaultDB9                                        plc2/db11.dbw4:int
CistTAG_Emulsione_CodiceOperazioneCisternaDaEseguire                              plc2/db11.dbw6:int
CistTAG_Emulsione_NumeroCisternaAlimImp_NEW                                       plc2/db11.dbw8:int
CistTAG_Emulsione_NumeroCisternaAlimImp_OLD                                       plc2/db11.dbw10:int
CistTAG_Emulsione_NumeroCisternaCarico                                            plc2/db11.dbw24:int
CistTAG_Emulsione_CMD_StartOperazioneCisterna                                     plc2/db11.dbx26.0:bool
CistTAG_Emulsione_CMD_StopOperazioneCisterna                                      plc2/db11.dbx26.1:bool
CistTAG_Emulsione_CMD_AzzeraTara                                                  plc2/db11.dbx26.4:bool
CistTAG_Emulsione_CodiceOperazioneCisternaInCorso                                 plc2/db11.dbw28:int
CistTAG_Emulsione_AzzeraTaraCisternaNumero                                        plc2/db11.dbw30:int
CistTAG_Emulsione_Allarme0                                                        plc2/db11.dbx32.0:bool
CistTAG_Emulsione_Allarme1                                                        plc2/db11.dbx32.1:bool
CistTAG_Emulsione_Allarme2                                                        plc2/db11.dbx32.2:bool
CistTAG_Emulsione_Allarme3                                                        plc2/db11.dbx32.3:bool
CistTAG_Emulsione_Allarme4                                                        plc2/db11.dbx32.4:bool
CistTAG_Emulsione_Allarme5                                                        plc2/db11.dbx32.5:bool
