Lista tags in plc2
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
CistTAG_Emulsione_Cisterna1..10_DI_ValvAuxBloccoTemp            |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxInverteComando           |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxTempoTimeOutOpen         |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxTempoTimeOutClose        |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxTempoAntirimbalzoFC      |  O  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxOpen_DI_Trigger          |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxClose_DI_Trigger         |  I  |
CistTAG_Emulsione_Cisterna1..10_ValvAuxAllarmeCodice            |  O  |
CistTAG_Emulsione_Cisterna1..10_NumeroValvolePresenti           |  O  |
CistTAG_Emulsione_Cisterna1..10_AbilitaOrizzontale              |  O  |
CistTAG_Emulsione_Cisterna1..10_DiametroMm                      |  O  |
CistTAG_Emulsione_Cisterna1..10_LunghezzaMm                     |  O  |
CistTAG_Emulsione_Cisterna1..10_AbilitaValvolaMandata           |  O  |
CistTAG_Emulsione_Cisterna1..10_AbilitaValvolaRitorno           |  O  |
CistTAG_Emulsione_Cisterna1..10_AbilitaValvolaCarico            |  O  |
CistTAG_Emulsione_Cisterna1..10_AbilitaValvolaAux               |  O  |
CistTAG_Combustibile_Cisterna1..10_TipoLivello                  |  O  |
CistTAG_Combustibile_Cisterna1..10_BloccoValvoleBassaTemperatura|  O  |
CistTAG_Combustibile_Cisterna1..10_InclusioneAgitatore          |  O  |
CistTAG_Combustibile_Cisterna1..10_TempUnitaLimiteInf           |  O  |
CistTAG_Combustibile_Cisterna1..10_TempUnitaLimieSup            |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloUnitaLimiteInf        |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloUnitaLimiteSup        |  O  |
CistTAG_Combustibile_Cisterna1..10_Densita                      |  O  |
CistTAG_Combustibile_Cisterna1..10_TempGradiLimiteInf           |  O  |
CistTAG_Combustibile_Cisterna1..10_TempGradiLimiteSup           |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloTonLimiteInf          |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloTonLimiteSup          |  O  |
CistTAG_Combustibile_Cisterna1..10_TempGradiAllarmeMin          |  O  |
CistTAG_Combustibile_Cisterna1..10_TempGradiAllarmeMax          |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloTonAllarmeMin         |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloTonAllarmeMax         |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloTonAllarmeZonaMorta   |  O  |
CistTAG_Combustibile_Cisterna1..10_TempGradiAllarmeZonaMorta    |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloMin_DI_Trigger        |  I  |
CistTAG_Combustibile_Cisterna1..10_LivelloMax_DI_Trigger        |  I  |
CistTAG_Combustibile_Cisterna1..10_LivelloSic_DI_Trigger        |  I  |
CistTAG_Combustibile_Cisterna1..10_LivelloPercentualeValore     |  O  |
CistTAG_Combustibile_Cisterna1..10_LivelloTonValore             |  O  |
CistTAG_Combustibile_Cisterna1..10_TempGradiValore              |  O  |
CistTAG_Combustibile_Cisterna1..10_AllarmeCodiceGen             |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataInverteComando    |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataTempoTimeOutOpen  |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataTempoTimeOutClose |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataTempoAntirimbalzoF|  O  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataOpen_DI_Trigger   |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataClose_DI_Trigger  |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvMandataAllarmeCodice     |  O  |
CistTAG_Combustibile_Cisterna1..10_DI_ValvRitornoBloccoTemp     |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvRitornoInverteComando    |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvRitornoTempoTimeOutOpen  |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvRitornoTempoTimeOutClose |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvRitornoTempoAntirimbalzoF|  O  |
